Title,Type1,Volum,Location,Date_mfg,NameHost,Track,When,Who,Mail,Status,DetailStatus,Note,Modified,Modified By
40HF1FEX6902,Dry che,15 ปอนด์,บ้านพักรับรอง สภต. 1,1/1/2026,สภต.,TRUE,8/23/2024 11:33 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:03,Amnuay Tongmit (อำนวย ต้องมิตร)
40HF2FEX6003,BF2000,10 ปอนด์,บ้านพักรับรอง สภต. 2,4/7/2017,สภต.,TRUE,8/23/2024 11:51 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:04,Amnuay Tongmit (อำนวย ต้องมิตร)
40HF2FEX6904,Dry che,15 ปอนด์,บ้านพักรับรอง สภต. 2,9/1/2026,สภต.,TRUE,8/22/2024 2:04 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:05,Amnuay Tongmit (อำนวย ต้องมิตร)
40SE1FEX6501,CO2,10 ปอนด์,ห้องควบคุมงาน รปภ. สภต.,4/1/2022,สภต.,TRUE,8/23/2024 11:32 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:07,Amnuay Tongmit (อำนวย ต้องมิตร)
40SE1FEX6202,BF2000,15 ปอนด์,ห้องควบคุมงาน รปภ. สภต. ,1/1/2019,สภต.,TRUE,8/25/2024 6:12 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:08,Amnuay Tongmit (อำนวย ต้องมิตร)
40SE1FEX6203,BF2000,15 ปอนด์,ห้องควบคุมงาน รปภ. สภต. ,1/1/2019,สภต.,TRUE,8/23/2024 11:19 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:09,Amnuay Tongmit (อำนวย ต้องมิตร)
40SE1FEX6204,BF2000,15 ปอนด์,ห้องควบคุมงาน รปภ. สภต. ,1/1/2019,สภต.,TRUE,8/23/2024 11:53 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:11,Amnuay Tongmit (อำนวย ต้องมิตร)
40SE1FEX6805,Dry che,15 ปอนด์,ห้องควบคุมงาน รปภ. สภต.,1/1/2025,สภต.,TRUE,8/23/2024 11:29 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:13,Amnuay Tongmit (อำนวย ต้องมิตร)
40SE1FEX6806,Dry che,15 ปอนด์,ห้องควบคุมงาน รปภ. สภต. ,1/1/2025,สภต.,TRUE,8/22/2024 2:04 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:15,Amnuay Tongmit (อำนวย ต้องมิตร)
40SE1FEX6007,Dry che,15 ปอนด์,ห้องควบคุมงาน รปภ. สภต. ,1/1/2017,สภต.,TRUE,8/22/2024 8:58 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:16,Amnuay Tongmit (อำนวย ต้องมิตร)
40SE1FEX6008,Dry che,15 ปอนด์,ห้องควบคุมงาน รปภ. สภต. ,1/1/2017,สภต.,TRUE,8/23/2024 11:51 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:17,Amnuay Tongmit (อำนวย ต้องมิตร)
40B11FEX6801,BF2000,15 ปอนด์,ทางขึ้นบันได หน้าห้องประชุมศรีปักษ์ใต้ ,1/1/2025,สภต.,TRUE,8/25/2024 6:31 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:19,Amnuay Tongmit (อำนวย ต้องมิตร)
40B11FEX6802,BF2000,15 ปอนด์,ทางขึ้นบันได หน้าห้องประชุมศรีปักษ์ใต้ ,1/1/2025,สภต.,TRUE,8/23/2024 11:45 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:20,Amnuay Tongmit (อำนวย ต้องมิตร)
40B11FEX6803,BF2000,15 ปอนด์,ข้างบันไดทาง หน้าลิฟต์,1/1/2025,สภต.,TRUE,8/22/2024 8:58 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:21,Amnuay Tongmit (อำนวย ต้องมิตร)
40B11FEX6804,BF2000,15 ปอนด์,ข้างบันไดทาง หน้าลิฟต์,1/1/2025,สภต.,TRUE,8/22/2024 9:08 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:22,Amnuay Tongmit (อำนวย ต้องมิตร)
40B11FEX6405,Dry che,10 ปอนด์,ในตู้ Fire Hose หน้าห้อง ฝรภ.,1/1/2022,สภต.,TRUE,8/28/2024 12:58 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:23,Amnuay Tongmit (อำนวย ต้องมิตร)
40B11FEX6406,Dry che,10 ปอนด์,ในตู้ Fire Hose หน้าห้องอาหาร,1/1/2022,สภต.,TRUE,8/28/2024 1:02 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:24,Amnuay Tongmit (อำนวย ต้องมิตร)
40B11FEX6207,Softex,10 ปอนด์,ในห้องอาหาร,1/1/2019,สภต.,TRUE,8/22/2024 3:34 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,ชนิดน้ำ 6 ลิตร,8/6/2026 8:26,Amnuay Tongmit (อำนวย ต้องมิตร)
40B12FEX6801,BF2000,15 ปอนด์,ในตู้ Fire Hose หน้าห้อง วศง.,1/1/2025,สภต.,TRUE,8/22/2024 3:39 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:25,Amnuay Tongmit (อำนวย ต้องมิตร)
40B12FEX6402,Dry che,10 ปอนด์,ในตู้ Fire Hose หน้าห้อง วศง.,1/1/2022,สภต.,TRUE,8/22/2024 3:36 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:26,Amnuay Tongmit (อำนวย ต้องมิตร)
40B12FEX6803,BF2000,15 ปอนด์,ในตู้ Fire Hose หน้าห้อง 1213,1/1/2025,สภต.,TRUE,8/22/2024 3:34 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:27,Amnuay Tongmit (อำนวย ต้องมิตร)
40B12FEX6404,Dry che,10 ปอนด์,ในตู้ Fire Hose หน้าห้อง 1213,1/1/2022,สภต.,TRUE,8/22/2024 3:38 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:28,Amnuay Tongmit (อำนวย ต้องมิตร)
40B12FEX6805,BF2000,15 ปอนด์,หน้าห้อง Pantry วศง. ทิศใต้,1/1/2025,สภต.,TRUE,8/22/2024 3:32 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:29,Amnuay Tongmit (อำนวย ต้องมิตร)
40B12FEX6806,BF2000,15 ปอนด์,หน้าห้อง Pantry วศง. ทิศเหนือ,1/1/2025,สภต.,TRUE,8/23/2024 11:55 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:30,Amnuay Tongmit (อำนวย ต้องมิตร)
41B01FEX1007,BF2000,15 ปอนด์,ห้องนับคัด,1/1/2019,ศหญ.,TRUE,5/21/2024 8:31 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:52 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B01FEX1010,BF2000,15 ปอนด์,ห้องนับคัด,1/1/2019,ศหญ.,TRUE,5/21/2024 8:31 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:52 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B01FEX1012,Softex,10 ปอนด์,ทางเดินหน้าห้องทำลาย,1/1/2004,ศหญ.,TRUE,5/21/2024 8:32 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:53 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B01FEX1014,BF2000,15 ปอนด์,ภายในห้องทำลาย,1/1/2020,ศหญ.,TRUE,5/21/2024 8:32 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:53 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B01FEX1019,BF2000,15 ปอนด์,ภายในห้องช่าง,1/1/2019,ศหญ.,TRUE,5/21/2024 8:33 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:53 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B01FEX1020,BF2000,15 ปอนด์,โถงหน้าห้องมั่นคง,1/1/2019,ศหญ.,TRUE,5/21/2024 8:33 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:53 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B01FEX1022,BF2000,10 ปอนด์,ประตูเหล็กโถงหน้าห้องรับจ่าย,1/1/2011,ศหญ.,TRUE,5/21/2024 8:33 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:53 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B01FEX1024,Softex,10 ปอนด์,โถงหน้าห้องรับจ่าย,1/1/2004,ศหญ.,TRUE,5/21/2024 8:43 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:53 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B01FEX1031,Softex,10 ปอนด์,ทางขึ้นห้องเครื่อง,1/1/2006,ศหญ.,TRUE,5/21/2024 8:43 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:53 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B01FEX2002,Softex,10 ปอนด์,ห้องควบคุมงานรักษาความปลอดภัย ศหญ.,1/1/2006,ศหญ.,TRUE,5/21/2024 8:45 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:53 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B01FEX2007,Softex,10 ปอนด์,ทางเดินหน้าห้องธุรการ,1/1/2006,ศหญ.,TRUE,5/21/2024 8:47 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:53 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B01FEX2009,Softex,10 ปอนด์,ภายในห้องธุรการ,1/1/2006,ศหญ.,TRUE,5/21/2024 8:48 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:53 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B01FEX2011,Softex,10 ปอนด์,ห้องเก็บเอกสาร,1/1/2006,ศหญ.,TRUE,5/21/2024 8:48 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:53 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
41B02FEX1002,BF2000,15 ปอนด์,ภายในป้อมรักษาการณ์ รปภ. G1,1/1/2019,ศหญ.,TRUE,5/21/2024 8:49 AM,เลิศพงษ์ วงษ์บุตรดี,LeartphW@bot.or.th,ปกติ,,,12/19/2025 3:53 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
40B12FEX6807,BF2000,15 ปอนด์,หน้าห้อง Studio หน้าห้องละหมาด,1/1/2025,สภต.,TRUE,8/25/2024 6:04 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:31,Amnuay Tongmit (อำนวย ต้องมิตร)
40B20FEX6801,BF2000,15 ปอนด์,ห้องเครื่องปั๊มน้ำชั้นใต้ดิน อาคาร B2 ,1/1/2025,สภต.,TRUE,8/23/2024 11:56 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:32,Amnuay Tongmit (อำนวย ต้องมิตร)
40B20FEX6902,Dry che,15 ปอนด์,ห้องเครื่องปั๊มน้ำชั้นใต้ดิน อาคาร B2 ,1/1/2026,สภต.,TRUE,8/23/2024 11:50 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:32,Amnuay Tongmit (อำนวย ต้องมิตร)
40B21FEX6501,CO2,10 ปอนด์,ในห้องปั้มน้ำ อาคาร B2 ,1/1/2022,สภต.,TRUE,8/23/2024 11:49 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:34,Amnuay Tongmit (อำนวย ต้องมิตร)
40B21FEX6902,Dry che,15 ปอนด์,หน้าห้องปั้มน้ำ อาคาร B2 ,1/1/2026,สภต.,TRUE,8/23/2024 11:48 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:35,Amnuay Tongmit (อำนวย ต้องมิตร)
40B21FEX6502,CO2,10 ปอนด์,ในห้องสื่อสาร อาคาร B2 ,1/1/2022,สภต.,TRUE,8/23/2024 11:48 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:36,Amnuay Tongmit (อำนวย ต้องมิตร)
40B21FEX6503,CO2,10 ปอนด์,ในห้องควบคุมระบบวิศวกรรม อาคาร B2 ,1/1/2022,สภต.,TRUE,8/23/2024 11:24 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ไม่ปกติ,สารเคมีจับตัวแข็ง,,8/7/2026 13:36,Amnuay Tongmit (อำนวย ต้องมิตร)
40B22FEX6501,CO2,10 ปอนด์,ห้องเครื่องกำเนิดไฟฟ้า อาคาร B2 ,1/1/2022,สภต.,TRUE,8/23/2024 11:43 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:37,Amnuay Tongmit (อำนวย ต้องมิตร)
40B22FEX6502,CO2,10 ปอนด์,ห้องระบบไฟฟ้าสำรอง (UPS) อาคาร B2 ,1/1/2022,สภต.,TRUE,8/23/2024 11:22 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:38,Amnuay Tongmit (อำนวย ต้องมิตร)
40B22FEX6903,BF2000,15 ปอนด์,ห้องระบบไฟฟ้าสำรอง (UPS) อาคาร B2 ,4/1/2026,สภต.,TRUE,8/23/2024 11:39 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:39,Amnuay Tongmit (อำนวย ต้องมิตร)
40B22FEX6504,CO2,10 ปอนด์,ห้องควบคุมระบบไฟฟ้า (Transformer) อาคาร B2 ,1/1/2022,สภต.,TRUE,8/23/2024 11:46 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:40,Amnuay Tongmit (อำนวย ต้องมิตร)
40B22FEX6805,Dry che,50 ปอนด์,หน้าห้องเครื่องกำเนิดไฟฟ้า อาคาร B2 ,1/1/2025,สภต.,TRUE,8/23/2024 11:31 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:41,Amnuay Tongmit (อำนวย ต้องมิตร)
40B13FEX6501,Dry che,10 ปอนด์,ในตู้ Fire Hose ข้างประตูทางออกดาดฟ้า อาคาร B1,1/1/2022,สภต.,TRUE,8/25/2024 6:19 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:42,Amnuay Tongmit (อำนวย ต้องมิตร)
40B13FEX6502,Dry che,10 ปอนด์,ในตู้ Fire Hose ระบบปรับอากาศดาดฟ้า อาคาร B1,1/1/2022,สภต.,TRUE,8/25/2024 6:13 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:43,Amnuay Tongmit (อำนวย ต้องมิตร)
40G31FEX6801,Dry che,15 ปอนด์,ป้อมรักษาการณ์ประตู ต.3,1/1/2025,สภต.,TRUE,8/25/2024 6:22 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:45,Amnuay Tongmit (อำนวย ต้องมิตร)
40G31FEX6902,Dry che,15 ปอนด์,ป้อมรักษาการณ์ประตู ต.3,1/1/2026,สภต.,TRUE,8/25/2024 6:28 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:46,Amnuay Tongmit (อำนวย ต้องมิตร)
40G41FEX6001,Dry che,15 ปอนด์,ป้อมรักษาการณ์ประตู ต.4,1/1/2017,สภต.,TRUE,8/25/2024 6:08 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:47,Amnuay Tongmit (อำนวย ต้องมิตร)
40CC1FEX6901,Dry che,15 ปอนด์,ภายในโถงสโมสร ชั้น 1,1/1/2026,สภต.,TRUE,8/25/2024 6:25 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:48,Amnuay Tongmit (อำนวย ต้องมิตร)
40CC1FEX6902,Dry che,15 ปอนด์,ภายนอกโถงสโมสร ชั้น 1,1/1/2026,สภต.,TRUE,8/22/2024 2:01 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:49,Amnuay Tongmit (อำนวย ต้องมิตร)
40CC1FEX6003,BF2000,10 ปอนด์,ห้อง Sever สโมสร ชั้น 1 (ห้องควบคุม งาน รปภ. สภต. เดิม),1/1/2017,สภต.,TRUE,8/23/2024 11:30 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:50,Amnuay Tongmit (อำนวย ต้องมิตร)
40CC1FEX6004,BF2000,10 ปอนด์,ห้อง Sever สโมสร ชั้น 1 (ห้องควบคุม งาน รปภ. สภต. เดิม),1/1/2017,สภต.,TRUE,8/22/2024 2:07 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:51,Amnuay Tongmit (อำนวย ต้องมิตร)
40CC2FEX6001,BF2000,10 ปอนด์,ห้อง Sever สโมสร ชั้น 2,1/1/2017,สภต.,TRUE,8/22/2024 2:07 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:52,Amnuay Tongmit (อำนวย ต้องมิตร)
40CC2FEX6002,BF2000,10 ปอนด์,ห้อง Sever สโมสร ชั้น 2,1/1/2017,สภต.,TRUE,8/22/2024 9:11 PM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:53,Amnuay Tongmit (อำนวย ต้องมิตร)
40EE1FEX6001,Dry che,15 ปอนด์,ข้างบันไดทางขึ้น อาคารการกำลัง,10/1/2017,สภต.,TRUE,8/25/2024 6:32 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/7/2026 13:54,Amnuay Tongmit (อำนวย ต้องมิตร)
31B11FEX6801,CO2,10 ปอนด์,ห้องทำลาย  เก็บเศษ,1/1/2025,ศขก.,TRUE,1/27/2023 4:36 PM,นิพนธ์ อนุประเสริฐ,NiponA@bot.or.th,ปกติ,,,10/21/2025 11:19 PM,Athibordee Hongchumpae (อธิบดี หงษ์ชุมแพ)
32B11FEX6801,CO2,10 ปอนด์,หน้าห้องควบคุมงานรปภ.CCC.NR,1/1/2025,ศนร.,TRUE,8/29/2022 1:36 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:54 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
32B11FEX6802,CO2,10 ปอนด์,ห้องควบคุมงานรปภ.CCC.NR,1/1/2025,ศนร.,TRUE,8/29/2022 1:35 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:54 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
32B11FEX6803,CO2,10 ปอนด์,ห้องธุรการ ธปท.,1/1/2025,ศนร.,TRUE,8/29/2022 1:34 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:54 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
32B11FEX6804,CO2,10 ปอนด์,หน้าห้องนับคัดธนบัตร,1/1/2025,ศนร.,TRUE,8/29/2022 1:34 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:54 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
32B11FEX6805,CO2,10 ปอนด์,ภายในห้องนับคัดธนบัตร,1/1/2025,ศนร.,TRUE,8/29/2022 1:34 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:54 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
32B11FEX6806,CO2,10 ปอนด์,หน้าห้องเครื่องทำลายธนบัตร,1/1/2025,ศนร.,TRUE,8/29/2022 1:34 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:54 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
32B01FEX1007,CO2,10 ปอนด์,หน้าห้องรับ-จ่าย1,1/1/2025,ศนร.,TRUE,8/29/2022 1:31 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:54 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
32B04FEX1008,CO2,10 ปอนด์,หน้าห้องรับ-จ่าย2,1/1/2025,ศนร.,TRUE,8/29/2022 1:32 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:54 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
42B02FEX1001,CO2,10 ปอนด์,ในตู้หน้าห้องน้ำ อาคาร B2,11/15/2004,ศสร.,TRUE,5/28/2024 3:57 PM,พงษ์ชัย ถิรเบญญานุกุล,PongchaT@bot.or.th,จำหน่าย,,,10/24/2025 11:28 AM,Natthaphon Piyarajasakul (ณัฏฐพล ปิยะราษฏร์สกุล)
32B11FEX6809,ABFFC,10 ปอนด์,โถงหน้าห้องมั่นคง 1 ธปท.,1/1/2025,ศนร.,TRUE,8/29/2022 1:30 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:54 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
32B01FEX1010,ABFFC,10 ปอนด์,โถงห้องมั่นคง 2 CCC.,1/1/2025,ศนร.,TRUE,8/29/2022 1:29 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:54 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
32B01FEX1011,CO2,10 ปอนด์,หน้าห้องน้ำทางเดินห้องสันทนาการ ธปท.,1/1/2025,ศนร.,TRUE,8/29/2022 1:29 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:55 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
32B11FEX6812,ABFFC,10 ปอนด์,ผนังชานขนถ่ายธนบัตร1,1/1/2025,ศนร.,TRUE,8/29/2022 1:28 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:55 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
32B01FEX1013,ABFFC,10 ปอนด์,ผนังชานขนถ่ายธนบัตร 2,1/1/2025,ศนร.,TRUE,8/29/2022 1:28 PM,เอกลักษณ์ จันทะวงษ์,EKKALAKJ@bot.or.th,ปกติ,,,12/19/2025 3:55 PM,Rohman Hanirae (เร๊าะมัน หะนิแร)
